Source,Region,StationID,n.samples,gps,Freq.1995,Freq.1996,Freq.1997,Freq.1998,Freq.1999,Freq.2002,Freq.2004,Freq.2006,Freq.2008,Freq.2009,Freq.2010,Freq.2011,Freq.2012,Freq.2013,Freq.2014,Freq.2015,Freq.2016,Freq.2017,Freq.2018,Freq.2019,Freq.2020
CDFW-SKT,Cache Slough and Liberty Island,719,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0
CDFW-SKT,Confluence,508,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDFW-SKT,Confluence,520,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDFW-SKT,Confluence,704,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDFW-SKT,Confluence,706,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CDFW-SKT,Confluence,801,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDFW-SKT,Confluence,804,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDFW-SKT,Honker Bay,519,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CDFW-SKT,Lower Sacramento River,513,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CDFW-SKT,Lower Sacramento River,706,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CDFW-SKT,Lower Sacramento River,707,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CDFW-SKT,Lower Sacramento River,712,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CDFW-SKT,Lower Sacramento River,713,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CDFW-SKT,Lower Sacramento River,715,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CDFW-SKT,Montezuma Slough,606,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0
CDFW-SKT,Montezuma Slough,609,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
CDFW-SKT,Montezuma Slough,610,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CDFW-SKT,Sacramento River,711,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDFW-SKT,Sacramento River near Rio Vista,707,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CDFW-SKT,SRDWSC,719,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
CDFW-SKT,Suisun Bay Marsh,340,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CDFW-SKT,Suisun Bay Marsh,405,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDFW-SKT,Suisun Bay Marsh,418,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDFW-SKT,Suisun Bay Marsh,606,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDFW-SKT,Suisun Bay Marsh,609,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CDFW-SKT,Suisun Bay Marsh,610,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDFW-SKT,NA,418,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,501,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,504,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,513,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,519,11,1,0,0,0,0,0,0,1,0,7,0,0,2,0,1,0,0,0,0,0,0,0
CDFW-SKT,NA,602,6,1,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,606,26,1,0,0,0,0,0,0,0,7,0,9,0,1,7,2,0,0,0,0,0,0,0
CDFW-SKT,NA,609,33,1,0,0,0,0,0,0,4,6,7,1,0,9,6,0,0,0,0,0,0,0,0
CDFW-SKT,NA,610,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CDFW-SKT,NA,699,16,1,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,704,14,1,0,0,0,0,0,0,1,2,2,7,0,2,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,706,3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,707,5,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0
CDFW-SKT,NA,711,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,713,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,715,16,1,0,0,0,0,0,11,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0
CDFW-SKT,NA,716,34,1,0,0,0,0,0,18,6,1,0,2,0,6,1,0,0,0,0,0,0,0,0
CDFW-SKT,NA,719,103,1,0,0,0,0,0,0,9,20,30,13,0,0,30,0,0,1,0,0,0,0,0
CDFW-SKT,NA,799,45,1,0,0,0,0,0,13,10,8,0,14,0,0,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,809,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,812,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,920,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDFW-SKT,NA,922,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CDFW-STN,Cache Slough and Liberty Island,719,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CDFW-STN,Grizzly Bay,602,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CDFW-STN,Honker Bay,519,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CDFW-STN,Lower Sacramento River Ship Channel,723,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CDFW-STN,Lower Sacramento River Ship Channel,797,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CDFW-STN,Lower San Joaquin River,804,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CDFW-STN,Montezuma Slough,610,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CDFW-STN,Suisun Bay and Marsh,609,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CDFW-STN,Suisun Bay Marsh,602,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
CDFW-STN,NA,418,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CDFW-STN,NA,501,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CDFW-STN,NA,508,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CDFW-STN,NA,602,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CDFW-STN,NA,716,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
CDFW-STN,NA,795,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UCD-FCCL,NA,NA,137,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,8,26,9,3,0,9,50
USFWS-Chipps,Chipps Island,Chipps,24,0,0,9,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-Chipps,Chipps Island,SB018,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-Chipps,Chipps Island,SB018M,74,1,10,9,24,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-Chipps,Chipps Island,SB018N,43,1,8,5,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-Chipps,Chipps Island,SB018S,86,1,30,23,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-Chipps,Chipps Island,SJ011M,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-Chipps,Chipps Island,SRO14W,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-DJFMP-BeachSeine,NA,AMOO1S,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-DJFMP-BeachSeine,NA,CCOOOM,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-DJFMP-BeachSeine,NA,CLOOOM,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-DJFMP-BeachSeine,NA,OROO1M,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFWS-EDSM,Cache Slough and Liberty Island,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USFWS-EDSM,Confluence,18-05-LSR02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
USFWS-EDSM,Confluence,18-05-SBM02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,Confluence,18-08-LSR01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
USFWS-EDSM,Confluence,18-08-LSR02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,Confluence,18-11-LSR01,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
USFWS-EDSM,Confluence,18-13-LSR01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,Confluence,18-15-LSR02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,Confluence,18-17-LSR01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,Confluence,18-18-HB01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,Grizzly Bay,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
USFWS-EDSM,Lower Sacramento River,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
USFWS-EDSM,Lower Sacramento River Ship Channel,NA,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,0
USFWS-EDSM,SRDWSC,18-02-CS01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,SRDWSC,18-03-SSC02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,SRDWSC,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
USFWS-EDSM,Suisun Bay Marsh,18-03-SM02,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
USFWS-EDSM,Suisun Bay Marsh,18-04-SBM05,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
USFWS-EDSM,Suisun Bay Marsh,18-05-SBM02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,Suisun Bay Marsh,18-07-SBM02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,Suisun Bay Marsh,18-08-SM01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,Suisun Bay Marsh,18-11-SM01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USFWS-EDSM,Suisun Bay Marsh,18-18-SM01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
USFWS-EDSM,Suisun Bay Marsh,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
USFWS-EDSM,Upper Sacramento River Ship Channel,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
USFWS-EDSM,NA,19-49-LSSC01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
USFWS-EDSM,NA,19-49-SBM02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USFWS-EDSM,NA,19-49-SM01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USFWS-EDSM,NA,19-50-LSSC03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USFWS-EDSM,NA,19-52-LSSC03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USFWS-EDSM,NA,19-53-GB01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USFWS-EDSM,NA,19-53-SBM03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USFWS-EDSM,NA,20-03-LSSC02,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
USFWS-EDSM,NA,20-04-HB01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USFWS-EDSM,NA,20-04-LSSC02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USFWS-EDSM,NA,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
